性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	43.0	2.8	1.4	2.5	50.0	50.0
1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	32.0	3.0	1.4	2.75	10.0	75.0
1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	65.0	2.0	1.0	1.25	5.0	60.0
0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	49.0	3.6	1.6	3.5	39.0	39.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	35.0	2.0	1.0	2.75	10.0	50.0
0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	30.0	2.4	1.2	3.0	50.0	20.0
0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	44.0	3.0	1.0	3.5	62.0	29.0
0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	45.0	3.6	1.0	3.25	2.0	82.0
1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	21.0	3.0	2.0	2.75	2.0	2.0
1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	66.0	3.8	1.0	2.25	0.0	90.0
0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	28.0	2.0	1.0	2.5	50.0	50.0
1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	56.0	2.2	1.2	3.0	48.0	47.0
0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	28.0	3.0	1.0	3.25	50.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	43.0	2.6	1.0	2.75	45.0	55.0
0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	40.0	3.0	1.8	2.75	10.0	90.0
0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	40.0	3.0	1.8	3.25	50.0	50.0
1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	37.0	2.2	2.0	2.5	20.0	91.0
0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	21.0	2.6	1.4	2.5	53.0	52.0
1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	58.0	3.0	1.0	2.75	60.0	10.0
0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	33.0	3.0	2.0	3.0	25.0	60.0
1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	46.0	4.0	1.4	3.0	25.0	50.0
1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	29.0	4.0	1.0	3.25	37.0	37.0
1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	32.0	3.2	1.4	2.5	10.0	80.0
0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	55.0	2.6	1.2	2.5	20.0	90.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	30.0	3.0	1.6	3.0	10.0	70.0
0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	52.0	3.0	1.0	2.5	0.0	86.0
1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	50.0	3.0	1.2	3.75	20.0	70.0
1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	49.0	2.8	1.2	2.5	75.0	50.0
1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	27.0	3.8	2.2	2.75	65.0	0.0
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	25.0	3.2	1.6	2.5	1.0	1.0
0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	32.0	3.0	1.0	3.0	50.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	38.0	3.0	1.0	3.25	66.0	70.0
0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	31.0	3.0	1.0	2.75	35.0	36.0
